t,signal_state,EW_approaching,NS_approaching
0.1,EW_GREEN,0,0
0.2,EW_GREEN,0,0
0.3,EW_GREEN,0,0
0.4,EW_GREEN,0,0
0.5,EW_GREEN,0,0
0.6,EW_GREEN,0,0
0.7,EW_GREEN,0,0
0.8,EW_GREEN,0,0
0.9,EW_GREEN,0,0
1.0,EW_GREEN,0,0
1.1,EW_GREEN,0,0
1.2,EW_GREEN,0,0
1.3,EW_GREEN,0,0
1.4,EW_GREEN,0,0
1.5,EW_GREEN,0,0
1.6,EW_GREEN,0,0
1.7,EW_GREEN,0,0
1.8,EW_GREEN,0,0
1.9,EW_GREEN,0,0
2.0,EW_GREEN,0,0
2.1,EW_GREEN,0,0
2.2,EW_GREEN,0,0
2.3,EW_GREEN,0,0
2.4,EW_GREEN,0,0
2.5,EW_GREEN,0,0
2.6,EW_GREEN,0,0
2.7,EW_GREEN,0,0
2.8,EW_GREEN,0,0
2.9,EW_GREEN,0,0
3.0,EW_GREEN,0,0
3.1,EW_GREEN,0,0
3.2,EW_GREEN,0,0
3.3,EW_GREEN,0,0
3.4,EW_GREEN,0,0
3.5,EW_GREEN,0,0
3.6,EW_GREEN,0,0
3.7,EW_GREEN,0,0
3.8,EW_GREEN,0,0
3.9,EW_GREEN,0,0
4.0,EW_GREEN,0,0
4.1,EW_GREEN,0,0
4.2,EW_GREEN,0,0
4.3,EW_GREEN,0,0
4.4,EW_GREEN,0,0
4.5,EW_GREEN,0,0
4.6,EW_GREEN,0,0
4.7,EW_GREEN,0,0
4.8,EW_GREEN,0,0
4.9,EW_GREEN,0,0
5.0,EW_GREEN,0,0
5.1,EW_GREEN,0,0
5.2,EW_GREEN,0,0
5.3,EW_GREEN,0,0
5.4,EW_GREEN,0,0
5.5,EW_GREEN,0,0
5.6,EW_GREEN,0,0
5.7,EW_GREEN,0,0
5.8,EW_GREEN,0,0
5.9,EW_GREEN,0,0
6.0,EW_GREEN,0,0
6.1,EW_GREEN,0,0
6.2,EW_GREEN,0,0
6.3,EW_GREEN,0,0
6.4,EW_GREEN,0,0
6.5,EW_GREEN,0,0
6.6,EW_GREEN,0,0
6.7,EW_GREEN,0,0
6.8,EW_GREEN,0,0
6.9,EW_GREEN,0,0
7.0,EW_GREEN,0,0
7.1,EW_GREEN,0,0
7.2,EW_GREEN,0,0
7.3,EW_GREEN,0,0
7.4,EW_GREEN,1,0
7.5,EW_GREEN,1,1
7.6,EW_GREEN,1,1
7.7,EW_GREEN,1,1
7.8,EW_GREEN,1,1
7.9,EW_GREEN,1,1
8.0,EW_GREEN,1,1
8.1,EW_YELLOW,1,1
8.2,EW_YELLOW,1,1
8.3,EW_YELLOW,1,1
8.4,EW_YELLOW,1,1
8.5,EW_YELLOW,1,1
8.6,EW_YELLOW,1,1
8.7,EW_YELLOW,1,1
8.8,EW_YELLOW,1,1
8.9,EW_YELLOW,1,1
9.0,EW_YELLOW,1,1
9.1,EW_YELLOW,1,1
9.2,EW_YELLOW,1,1
9.3,EW_YELLOW,1,1
9.4,EW_YELLOW,1,1
9.5,EW_YELLOW,1,1
9.6,EW_YELLOW,1,1
9.7,EW_YELLOW,1,1
9.8,EW_YELLOW,1,1
9.9,EW_YELLOW,1,1
10.0,EW_YELLOW,1,1
10.1,EW_YELLOW,1,1
10.2,EW_YELLOW,1,1
10.3,EW_YELLOW,1,1
10.4,EW_YELLOW,1,1
10.5,EW_YELLOW,1,1
10.6,EW_YELLOW,1,1
10.7,EW_YELLOW,1,1
10.8,EW_YELLOW,1,1
10.9,EW_YELLOW,1,1
11.0,EW_YELLOW,1,1
11.1,ALL_RED,1,2
11.2,ALL_RED,1,2
11.3,ALL_RED,1,2
11.4,ALL_RED,1,2
11.5,ALL_RED,1,2
11.6,ALL_RED,2,2
11.7,ALL_RED,2,2
11.8,ALL_RED,2,2
11.9,ALL_RED,2,2
12.0,ALL_RED,2,2
12.1,ALL_RED,2,2
12.2,NS_GREEN,2,2
12.3,NS_GREEN,2,2
12.4,NS_GREEN,2,2
12.5,NS_GREEN,2,2
12.6,NS_GREEN,2,2
12.7,NS_GREEN,2,2
12.8,NS_GREEN,2,2
12.9,NS_GREEN,2,2
13.0,NS_GREEN,2,2
13.1,NS_GREEN,2,2
13.2,NS_GREEN,2,2
13.3,NS_GREEN,2,2
13.4,NS_GREEN,2,2
13.5,NS_GREEN,2,2
13.6,NS_GREEN,2,2
13.7,NS_GREEN,2,2
13.8,NS_GREEN,2,2
13.9,NS_GREEN,2,2
14.0,NS_GREEN,2,2
14.1,NS_GREEN,2,2
14.2,NS_GREEN,2,2
14.3,NS_GREEN,2,2
14.4,NS_GREEN,2,2
14.5,NS_GREEN,2,2
14.6,NS_GREEN,2,2
14.7,NS_GREEN,2,2
14.8,NS_GREEN,2,2
14.9,NS_GREEN,2,2
15.0,NS_GREEN,2,2
15.1,NS_GREEN,2,3
15.2,NS_GREEN,2,3
15.3,NS_GREEN,2,3
15.4,NS_GREEN,2,3
15.5,NS_GREEN,2,3
15.6,NS_GREEN,2,3
15.7,NS_GREEN,2,3
15.8,NS_GREEN,2,3
15.9,NS_GREEN,2,3
16.0,NS_GREEN,2,3
16.1,NS_GREEN,2,3
16.2,NS_GREEN,2,3
16.3,NS_GREEN,2,3
16.4,NS_GREEN,2,3
16.5,NS_GREEN,2,3
16.6,NS_GREEN,2,3
16.7,NS_GREEN,2,2
16.8,NS_GREEN,2,2
16.9,NS_GREEN,2,2
17.0,NS_GREEN,2,2
17.1,NS_GREEN,2,2
17.2,NS_GREEN,1,2
17.3,NS_GREEN,1,2
17.4,NS_GREEN,1,2
17.5,NS_GREEN,1,2
17.6,NS_GREEN,1,2
17.7,NS_GREEN,1,2
17.8,NS_GREEN,1,2
17.9,NS_GREEN,1,2
18.0,NS_GREEN,1,2
18.1,NS_GREEN,1,2
18.2,NS_GREEN,1,2
18.3,NS_GREEN,1,2
18.4,NS_GREEN,1,2
18.5,NS_GREEN,1,2
18.6,NS_GREEN,1,2
18.7,NS_GREEN,1,2
18.8,NS_GREEN,1,2
18.9,NS_GREEN,1,2
19.0,NS_GREEN,1,2
19.1,NS_GREEN,1,2
19.2,NS_GREEN,1,2
19.3,NS_GREEN,1,2
19.4,NS_GREEN,1,2
19.5,NS_GREEN,1,2
19.6,NS_GREEN,1,2
19.7,NS_GREEN,1,2
19.8,NS_GREEN,1,2
19.9,NS_GREEN,1,1
20.0,NS_GREEN,1,1
20.1,NS_GREEN,1,1
20.2,NS_GREEN,1,1
20.3,NS_YELLOW,1,1
20.4,NS_YELLOW,1,1
20.5,NS_YELLOW,1,1
20.6,NS_YELLOW,1,1
20.7,NS_YELLOW,1,1
20.8,NS_YELLOW,1,1
20.9,NS_YELLOW,1,1
21.0,NS_YELLOW,1,1
21.1,NS_YELLOW,1,1
21.2,NS_YELLOW,1,1
21.3,NS_YELLOW,1,1
21.4,NS_YELLOW,1,1
21.5,NS_YELLOW,1,1
21.6,NS_YELLOW,1,1
21.7,NS_YELLOW,1,1
21.8,NS_YELLOW,1,1
21.9,NS_YELLOW,0,1
22.0,NS_YELLOW,0,1
22.1,NS_YELLOW,0,1
22.2,NS_YELLOW,0,1
22.3,NS_YELLOW,0,1
22.4,NS_YELLOW,0,1
22.5,NS_YELLOW,0,1
22.6,NS_YELLOW,0,1
22.7,NS_YELLOW,0,1
22.8,NS_YELLOW,0,1
22.9,NS_YELLOW,0,1
23.0,NS_YELLOW,0,1
23.1,NS_YELLOW,0,1
23.2,NS_YELLOW,0,1
23.3,ALL_RED,0,1
23.4,ALL_RED,0,1
23.5,ALL_RED,0,1
23.6,ALL_RED,0,1
23.7,ALL_RED,0,1
23.8,ALL_RED,0,1
23.9,ALL_RED,0,1
