t,vehicles_exited
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1.0,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2.0,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3.0,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4.0,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5.0,0
5.1,0
5.2,1
5.3,1
5.4,1
5.5,1
5.6,1
5.7,1
5.8,1
5.9,1
6.0,1
6.1,1
6.2,1
6.3,1
6.4,1
6.5,1
6.6,1
6.7,1
6.8,1
6.9,1
7.0,1
7.1,1
7.2,1
7.3,1
7.4,1
7.5,1
7.6,1
7.7,2
7.8,3
7.9,3
8.0,3
8.1,3
8.2,3
8.3,3
8.4,3
8.5,3
8.6,3
8.7,3
8.8,3
8.9,3
9.0,3
9.1,3
9.2,3
9.3,3
9.4,3
9.5,3
9.6,3
9.7,3
9.8,3
9.9,3
10.0,4
10.1,4
10.2,5
10.3,5
10.4,5
10.5,5
10.6,5
10.7,5
10.8,5
10.9,5
11.0,5
11.1,5
11.2,5
11.3,5
11.4,5
11.5,5
11.6,5
11.7,5
11.8,5
11.9,5
12.0,5
12.1,5
12.2,6
12.3,6
12.4,6
12.5,6
12.6,6
12.7,7
12.8,7
12.9,7
13.0,7
13.1,7
13.2,7
13.3,7
13.4,7
13.5,7
13.6,7
13.7,7
13.8,7
13.9,7
14.0,7
14.1,7
14.2,7
14.3,7
14.4,7
14.5,7
14.6,7
14.7,7
14.8,7
14.9,7
15.0,7
15.1,7
15.2,7
15.3,7
15.4,7
15.5,7
15.6,7
15.7,7
15.8,7
15.9,7
16.0,7
16.1,7
16.2,7
16.3,7
16.4,7
16.5,7
16.6,7
16.7,7
16.8,7
16.9,7
17.0,7
17.1,7
17.2,7
17.3,7
17.4,7
17.5,7
17.6,7
17.7,7
17.8,7
17.9,7
18.0,7
18.1,7
18.2,7
18.3,7
18.4,7
18.5,7
18.6,7
18.7,7
18.8,7
18.9,7
19.0,7
19.1,7
19.2,7
19.3,7
19.4,7
19.5,7
19.6,7
19.7,7
19.8,7
19.9,7
20.0,7
20.1,7
20.2,7
20.3,7
20.4,7
20.5,7
20.6,7
20.7,7
20.8,7
20.9,7
21.0,7
21.1,7
21.2,7
21.3,7
21.4,7
21.5,7
21.6,7
21.7,7
21.8,7
21.9,7
22.0,7
22.1,7
22.2,7
22.3,7
22.4,7
22.5,7
22.6,7
22.7,7
22.8,7
22.9,7
23.0,7
23.1,7
23.2,7
23.3,7
23.4,7
23.5,7
23.6,7
23.7,7
23.8,7
23.9,7
24.0,7
24.1,7
24.2,7
24.3,7
24.4,7
24.5,7
24.6,7
24.7,7
24.8,7
24.9,7
25.0,7
25.1,7
25.2,7
25.3,7
25.4,7
25.5,7
25.6,7
25.7,7
25.8,7
25.9,7
26.0,7
26.1,7
26.2,7
26.3,7
26.4,7
26.5,7
26.6,7
26.7,7
26.8,7
26.9,7
27.0,7
27.1,7
27.2,7
27.3,7
27.4,7
27.5,7
27.6,7
27.7,7
27.8,7
27.9,7
28.0,7
28.1,7
28.2,7
28.3,7
28.4,7
28.5,7
28.6,7
28.7,7
28.8,7
28.9,7
29.0,7
29.1,7
29.2,7
29.3,7
29.4,7
29.5,7
29.6,7
