t,signal_state,EW_approaching,NS_approaching
0.1,EW_GREEN,0,0
0.2,EW_GREEN,0,0
0.3,EW_GREEN,0,0
0.4,EW_GREEN,0,0
0.5,EW_GREEN,0,0
0.6,EW_GREEN,0,0
0.7,EW_GREEN,0,0
0.8,EW_GREEN,0,0
0.9,EW_GREEN,0,0
1.0,EW_GREEN,0,0
1.1,EW_GREEN,0,0
1.2,EW_GREEN,0,0
1.3,EW_GREEN,0,0
1.4,EW_GREEN,0,0
1.5,EW_GREEN,0,0
1.6,EW_GREEN,0,0
1.7,EW_GREEN,0,0
1.8,EW_GREEN,0,0
1.9,EW_GREEN,0,0
2.0,EW_GREEN,0,0
2.1,EW_GREEN,0,0
2.2,EW_GREEN,0,0
2.3,EW_GREEN,0,0
2.4,EW_GREEN,0,0
2.5,EW_GREEN,0,0
2.6,EW_GREEN,0,0
2.7,EW_GREEN,0,0
2.8,EW_GREEN,0,0
2.9,EW_GREEN,0,0
3.0,EW_GREEN,0,0
3.1,EW_GREEN,0,0
3.2,EW_GREEN,0,0
3.3,EW_GREEN,0,0
3.4,EW_GREEN,0,0
3.5,EW_GREEN,0,0
3.6,EW_GREEN,0,0
3.7,EW_GREEN,0,0
3.8,EW_GREEN,0,0
3.9,EW_GREEN,0,0
4.0,EW_GREEN,0,0
4.1,EW_GREEN,0,0
4.2,EW_GREEN,0,0
4.3,EW_GREEN,0,0
4.4,EW_GREEN,0,0
4.5,EW_GREEN,0,0
4.6,EW_GREEN,0,0
4.7,EW_GREEN,0,0
4.8,EW_GREEN,0,0
4.9,EW_GREEN,0,0
5.0,EW_GREEN,0,0
